epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1457.48,0.84583,0.49127,1.02098,0.97646,1,0.995,0.80277,0.94186,0.36718,0.98736,0.000499009,0.000499009,0.000499009
83,1477.84,0.84246,0.49492,1.02101,0.97576,0.97704,0.98923,0.82424,0.83789,0.38581,0.9575,0.000494885,0.000494885,0.000494885
84,1496.2,0.83032,0.50521,1.01435,0.97224,0.98272,0.995,0.82459,0.87958,0.38785,0.96633,0.000490762,0.000490762,0.000490762
85,1513.82,0.83681,0.49683,1.01783,0.96703,0.98733,0.995,0.8352,0.81938,0.35348,0.94294,0.000486639,0.000486639,0.000486639
86,1531.68,0.84458,0.4982,1.02193,0.97987,0.97971,0.995,0.83416,0.83173,0.35547,0.93893,0.000482515,0.000482515,0.000482515
87,1549.8,0.84168,0.50572,1.02104,0.97607,0.98578,0.995,0.84898,0.79196,0.37159,0.9457,0.000478392,0.000478392,0.000478392
88,1567.49,0.84612,0.51565,1.0262,0.98442,0.97143,0.98455,0.80677,0.883,0.39193,0.95147,0.000474269,0.000474269,0.000474269
89,1584.14,0.83406,0.49522,1.01972,0.97964,0.97547,0.995,0.82714,0.8684,0.36951,0.95129,0.000470145,0.000470145,0.000470145
90,1602.19,0.82756,0.48041,1.014,0.98274,0.98106,0.995,0.81671,0.88207,0.36624,0.95921,0.000466022,0.000466022,0.000466022
91,1621.24,0.83856,0.49625,1.02219,0.9682,0.98963,0.995,0.81813,0.85656,0.35721,0.96161,0.000461898,0.000461898,0.000461898
92,1638.05,0.80174,0.47479,1.01116,0.97596,0.98012,0.995,0.83802,0.82518,0.3498,0.96464,0.000457775,0.000457775,0.000457775
93,1655.59,0.81656,0.47179,1.00722,0.98255,0.98238,0.995,0.81677,0.87019,0.35384,0.96508,0.000453652,0.000453652,0.000453652
94,1673.07,0.83761,0.48456,1.01973,0.97083,0.97527,0.995,0.82511,0.849,0.37189,0.96542,0.000449528,0.000449528,0.000449528
95,1690.86,0.80744,0.48384,1.00656,0.98588,0.98951,0.995,0.83734,0.77099,0.33139,0.94928,0.000445405,0.000445405,0.000445405
96,1709.93,0.8175,0.4778,1.01522,0.9849,0.97622,0.992,0.8096,0.87971,0.38107,0.97055,0.000441282,0.000441282,0.000441282
97,1728.2,0.83055,0.48108,1.00654,0.97589,0.99499,0.995,0.85229,0.78068,0.34852,0.93416,0.000437158,0.000437158,0.000437158
98,1745.58,0.8137,0.47571,1.0069,0.97539,0.98689,0.995,0.86788,0.71685,0.31871,0.91793,0.000433035,0.000433035,0.000433035
99,1763.45,0.82142,0.47838,1.01309,0.98709,0.97433,0.995,0.82052,0.90123,0.36132,0.97681,0.000428912,0.000428912,0.000428912
100,1780.63,0.81466,0.47154,1.00956,0.9813,0.98125,0.995,0.84952,0.76986,0.33847,0.93335,0.000424788,0.000424788,0.000424788
101,1796.51,0.81145,0.47463,1.01823,0.98141,0.9706,0.995,0.85259,0.78982,0.33309,0.94213,0.000420665,0.000420665,0.000420665
102,1817.13,0.82151,0.46917,1.01449,0.98621,0.98747,0.995,0.8418,0.79967,0.34236,0.94214,0.000416542,0.000416542,0.000416542
103,1836.78,0.81699,0.47061,1.00295,0.98498,0.98762,0.995,0.85001,0.79213,0.34373,0.93123,0.000412418,0.000412418,0.000412418
